Engagement_ID,Alumni_ID,Event_ID,Participation_Score,Feedback_Text
928,575,59,93,Informative session
929,88,898,91,Helpful for interviews
930,658,418,62,Relevant content
931,139,474,100,Average experience
932,583,193,44,Relevant content
933,603,505,46,Good alumni connections
934,342,694,85,Helpful for interviews
935,245,329,73,Relevant content
936,721,912,65,Helpful for interviews
937,305,359,84,Good alumni connections
938,573,18,100,Met potential employers
939,534,514,76,Relevant content
940,48,114,71,Great networking opportunity
941,647,506,59,Met potential employers
942,236,503,63,Average experience
943,477,641,84,Average experience
944,232,499,100,Great networking opportunity
945,47,988,76,Good alumni connections
946,844,109,91,Met potential employers
947,147,959,65,Informative session
948,283,315,69,Average experience
949,197,26,56,Helpful for interviews
950,314,168,80,Relevant content
951,244,980,83,Helpful for interviews
952,913,658,60,Average experience
953,974,820,67,Helpful for interviews
954,947,894,92,Helpful for interviews
955,227,748,80,Informative session
956,200,145,73,Great networking opportunity
957,664,195,35,Relevant content
958,462,608,46,Good alumni connections
959,969,414,98,Average experience
960,180,897,59,Met potential employers
961,217,563,99,Average experience
962,161,955,89,Average experience
963,382,228,77,Good alumni connections
964,833,800,63,Relevant content
965,792,277,100,Helpful for interviews
966,381,543,47,Relevant content
967,297,986,68,Informative session
968,938,759,99,Average experience
969,663,300,90,Helpful for interviews
970,349,418,65,Great networking opportunity
971,933,842,81,Relevant content
972,183,238,76,Met potential employers
973,330,913,98,Met potential employers
974,288,489,82,Helpful for interviews
975,350,191,85,Great networking opportunity
976,80,287,89,Met potential employers
977,57,277,87,Informative session
978,99,76,83,Great networking opportunity
979,754,702,82,Helpful for interviews
980,114,437,67,Met potential employers
981,90,274,84,Met potential employers
982,832,59,85,Good alumni connections
983,84,827,93,Relevant content
984,290,830,100,Average experience
985,991,213,41,Informative session
986,457,34,100,Good alumni connections
987,865,530,86,Met potential employers
988,122,317,93,Met potential employers
989,111,611,85,Average experience
990,796,537,74,Met potential employers
991,272,274,89,Helpful for interviews
992,27,5,93,Good alumni connections
993,317,327,100,Informative session
994,950,532,69,Great networking opportunity
995,788,517,100,Helpful for interviews
996,346,248,82,Average experience
997,503,374,72,Good alumni connections
998,672,422,86,Great networking opportunity
999,49,349,97,Average experience
1000,80,670,78,Met potential employers
